model, fold, AUC, TSS, err_rate, kappa, PCC, Sensitivity, Specificity, Threshold
GLMER_alltypes_Feb25, 1, 0.801, 0.506, 0.243, 0.508, 0.757, 0.803, 0.703, 0.022
GLMER_alltypes_Feb25, 2, 0.760, 0.437, 0.280, 0.437, 0.720, 0.759, 0.678, 0.022
GLMER_alltypes_Feb25, 3, 0.779, 0.456, 0.274, 0.454, 0.726, 0.755, 0.701, 0.022
GLMER_alltypes_Feb25, 4, 0.778, 0.461, 0.269, 0.462, 0.731, 0.753, 0.709, 0.023
GLMER_alltypes_Feb25, 5, 0.773, 0.456, 0.273, 0.455, 0.727, 0.764, 0.693, 0.021
GLMER_alltypes_Feb25, 6, 0.769, 0.438, 0.281, 0.438, 0.719, 0.741, 0.697, 0.021
GLMER_alltypes_Feb25, 7, 0.741, 0.384, 0.309, 0.383, 0.691, 0.720, 0.664, 0.019
GLMER_alltypes_Feb25, 8, 0.765, 0.450, 0.276, 0.449, 0.724, 0.773, 0.677, 0.020
GLMER_alltypes_Feb25, 9, 0.770, 0.464, 0.269, 0.462, 0.731, 0.767, 0.696, 0.024
GLMER_alltypes_Feb25, 10, 0.766, 0.424, 0.288, 0.424, 0.712, 0.728, 0.696, 0.022
GLMER_alltypes_Mar02, 1, 0.872, 0.614, 0.191, 0.615, 0.809, 0.833, 0.781, 0.033
GLMER_alltypes_Mar02, 2, 0.820, 0.529, 0.236, 0.528, 0.764, 0.751, 0.778, 0.038
GLMER_alltypes_Mar02, 3, 0.816, 0.484, 0.259, 0.483, 0.741, 0.757, 0.728, 0.029
GLMER_alltypes_Mar02, 4, 0.838, 0.528, 0.236, 0.528, 0.764, 0.765, 0.763, 0.033
GLMER_alltypes_Mar02, 5, 0.839, 0.546, 0.228, 0.544, 0.772, 0.809, 0.737, 0.025
GLMER_alltypes_Mar02, 6, 0.847, 0.528, 0.236, 0.528, 0.764, 0.770, 0.758, 0.031
GLMER_alltypes_Mar02, 7, 0.761, 0.393, 0.304, 0.392, 0.696, 0.712, 0.681, 0.021
GLMER_alltypes_Mar02, 8, 0.807, 0.478, 0.261, 0.477, 0.738, 0.761, 0.717, 0.024
GLMER_alltypes_Mar02, 9, 0.820, 0.489, 0.256, 0.488, 0.744, 0.765, 0.724, 0.028
GLMER_alltypes_Mar02, 10, 0.844, 0.547, 0.226, 0.547, 0.774, 0.790, 0.757, 0.032
RF_alltypes_onehot_Feb25, 1, 0.906, 0.656, 0.172, 0.656, 0.828, 0.845, 0.812, 0.343
RF_alltypes_onehot_Feb25, 2, 0.916, 0.675, 0.163, 0.674, 0.837, 0.858, 0.818, 0.363
RF_alltypes_onehot_Feb25, 3, 0.886, 0.636, 0.181, 0.636, 0.819, 0.841, 0.795, 0.327
RF_alltypes_onehot_Feb25, 4, 0.916, 0.675, 0.161, 0.673, 0.838, 0.850, 0.824, 0.362
RF_alltypes_onehot_Feb25, 5, 0.880, 0.607, 0.196, 0.602, 0.804, 0.799, 0.807, 0.351
RF_alltypes_onehot_Feb25, 6, 0.909, 0.660, 0.169, 0.657, 0.831, 0.822, 0.838, 0.382
RF_alltypes_onehot_Feb25, 7, 0.910, 0.667, 0.166, 0.666, 0.834, 0.846, 0.820, 0.338
RF_alltypes_onehot_Feb25, 8, 0.884, 0.631, 0.184, 0.630, 0.815, 0.817, 0.814, 0.355
RF_alltypes_onehot_Feb25, 9, 0.905, 0.659, 0.171, 0.657, 0.829, 0.845, 0.814, 0.336
RF_alltypes_onehot_Feb25, 10, 0.900, 0.649, 0.176, 0.648, 0.824, 0.836, 0.814, 0.326
RF_alltypes_Mar02, 1, 0.924, 0.699, 0.149, 0.700, 0.851, 0.875, 0.824, 0.339
RF_alltypes_Mar02, 2, 0.899, 0.653, 0.173, 0.653, 0.827, 0.838, 0.815, 0.360
RF_alltypes_Mar02, 3, 0.904, 0.647, 0.177, 0.645, 0.822, 0.838, 0.809, 0.329
RF_alltypes_Mar02, 4, 0.908, 0.658, 0.171, 0.657, 0.829, 0.847, 0.810, 0.328
RF_alltypes_Mar02, 5, 0.898, 0.634, 0.184, 0.632, 0.816, 0.833, 0.801, 0.313
RF_alltypes_Mar02, 6, 0.900, 0.670, 0.165, 0.670, 0.835, 0.847, 0.823, 0.331
RF_alltypes_Mar02, 7, 0.908, 0.661, 0.170, 0.661, 0.830, 0.838, 0.823, 0.360
RF_alltypes_Mar02, 8, 0.894, 0.645, 0.178, 0.644, 0.822, 0.848, 0.797, 0.309
RF_alltypes_Mar02, 9, 0.888, 0.630, 0.186, 0.627, 0.813, 0.848, 0.782, 0.272
RF_alltypes_Mar02, 10, 0.908, 0.662, 0.169, 0.660, 0.830, 0.845, 0.817, 0.353